,position,r2,rmse
109,"(1, 7, 14)",-0.1294643861617848,0.2547526906172798
110,"(1, 7, 15)",-0.11590581518447451,0.25321899409762294
111,"(1, 7, 16)",-0.3234901871750846,0.2757673664503247
112,"(1, 8, 1)",-0.5193579154216035,0.29546943058934155
113,"(1, 8, 2)",-0.1407873246351974,0.25602646057906536
114,"(1, 8, 3)",-0.23714307815873825,0.2666198462504376
115,"(1, 8, 4)",-0.09401428802570755,0.2507229019666044
116,"(1, 8, 5)",-0.1764064025967529,0.2599927266099976
117,"(1, 8, 6)",-0.33781185547174664,0.2772554098928861
118,"(1, 8, 7)",-0.4439829747432571,0.2880471252146035
119,"(1, 8, 8)",0.5292785084969351,0.16446160429663534
120,"(1, 8, 9)",-0.1424365205299003,0.25621145794240163
121,"(1, 8, 10)",0.5229430208550624,0.16556465776691368
122,"(1, 8, 11)",-0.12217887335244981,0.25392973121098394
123,"(1, 8, 12)",-0.14748972929670612,0.25677746815662184
124,"(1, 8, 13)",-0.1765563361786422,0.26000929418337254
125,"(1, 8, 14)",0.3663310183494959,0.19081553671294574
126,"(1, 8, 15)",-0.15328137616366933,0.2574246602777354
127,"(1, 8, 16)",-0.09433406919711995,0.25075954253250693
128,"(1, 9, 1)",-0.05783791770803259,0.24654265801854092
129,"(1, 9, 2)",-0.23856269747602776,0.2667727752735292
130,"(1, 9, 3)",-0.026485822052887853,0.24286167526341937
131,"(1, 9, 4)",-0.12585922715196807,0.254345790663256
132,"(1, 9, 5)",-0.40684671464391986,0.2843190106316086
133,"(1, 9, 6)",-0.06873397403720061,0.24780913774284033
134,"(1, 9, 7)",-0.2717257565227098,0.2703206620848704
135,"(1, 9, 8)",-0.10481691460578269,0.25195771794219984
136,"(1, 9, 9)",-0.19987211324095622,0.2625729531932836
137,"(1, 9, 10)",-0.05203250684182059,0.2458652146570711
138,"(1, 9, 11)",-0.002035944047988014,0.2399518811664319
139,"(1, 9, 12)",-0.5260577029582958,0.2961201676166082
140,"(1, 9, 13)",-0.25417463011556074,0.26844882944260673
141,"(1, 9, 14)",-0.20095941919790028,0.2626918960722712
142,"(1, 9, 15)",-0.34436327233965325,0.27793345643264705
143,"(1, 9, 16)",-0.13494653618151897,0.25537019653596077
144,"(1, 10, 1)",-0.194964888083478,0.2620354689411631
145,"(1, 10, 2)",-0.2662237761391588,0.2697352720665404
146,"(1, 10, 3)",-0.20377960224131364,0.26300015162422835
147,"(1, 10, 4)",-0.04700428472930818,0.2452769506854911
148,"(1, 10, 5)",-0.4854964418568912,0.2921583591950266
149,"(1, 10, 6)",0.36477711070945296,0.19104935608339096
150,"(1, 10, 7)",0.3834661343863398,0.18821792330378165
151,"(1, 10, 8)",-0.17387843481337262,0.2597132285103519
152,"(1, 10, 9)",-0.10295776253792943,0.25174563531744015
153,"(1, 10, 10)",-0.19173228046174207,0.2616808009915483
154,"(1, 10, 11)",-0.3196497640383984,0.2753669733145033
155,"(1, 10, 12)",0.29041153073382586,0.20192299706310649
156,"(1, 10, 13)",-0.028752241622962194,0.2431296394912563
157,"(1, 10, 14)",0.40945977107284526,0.1842074764113965
158,"(1, 10, 15)",-0.2715913887835979,0.2703063809651008
159,"(1, 10, 16)",-0.3205411825637139,0.2754599622987421
160,"(1, 11, 1)",-0.016646973480255234,0.24169496035077764
161,"(1, 11, 2)",-0.4288483462451964,0.28653361373539
162,"(1, 11, 3)",-0.7570596737737578,0.3177428338352727
163,"(1, 11, 4)",-8.22605244499286e-06,0.23970897513717423
164,"(1, 11, 5)",-0.021711333222937945,0.24229620625404089
165,"(1, 11, 6)",0.4173183958673341,0.18297769922349286
166,"(1, 11, 7)",-0.07610801161846936,0.2486625833514815
167,"(1, 11, 8)",0.09166562330513928,0.22845748117015138
168,"(1, 11, 9)",-0.25077073509694436,0.2680842899039985
169,"(1, 11, 10)",-0.05086444777988319,0.245728686152034
170,"(1, 11, 11)",-0.08168047388047017,0.24930558276005033
171,"(1, 11, 12)",-0.041647962344828704,0.24464874551357976
172,"(1, 11, 13)",0.5261408619958929,0.16500881250725072
173,"(1, 11, 14)",-0.2255234824359018,0.2653648080904095
174,"(1, 11, 15)",-0.13136856944838038,0.25496734613717437
175,"(1, 11, 16)",-0.12580662876963333,0.2543398492750809
176,"(1, 12, 1)",-0.21952836145282828,0.2647149451773069
177,"(1, 12, 2)",-0.11609975739926104,0.25324099762079655
178,"(1, 12, 3)",-0.029379524182279404,0.2432037524481938
179,"(1, 12, 4)",-0.12101838741155668,0.25379839826809353
180,"(1, 12, 5)",0.5451951476250188,0.16165720050580576
181,"(1, 12, 6)",-0.2074461039889881,0.26340037329474175
182,"(1, 12, 7)",-0.08174288570536747,0.249312774991174
183,"(1, 12, 8)",-0.1952107565118577,0.26206242493624177
184,"(1, 12, 9)",-0.008952399721556592,0.24077857933304506
185,"(1, 12, 10)",-0.2783906714301938,0.27102809047774606
186,"(1, 12, 11)",-0.3522879037169957,0.27875142132428077
187,"(1, 12, 12)",-0.17682775872083467,0.26003928353101075
188,"(1, 12, 13)",-0.002041438780866267,0.23995253906183525
189,"(1, 12, 14)",-0.17606953511012846,0.25995549909789867
190,"(1, 12, 15)",-0.3623269878202453,0.279784202307218
191,"(1, 12, 16)",-0.04648206799290744,0.2452157743817229
192,"(1, 13, 1)",-0.09277361573911724,0.25058069486715545
193,"(1, 13, 2)",0.4670961735731429,0.17498746036142196
194,"(1, 13, 3)",-0.24265700986435546,0.267213346391624
195,"(1, 13, 4)",-0.07512529184162631,0.2485490160092799
196,"(1, 13, 5)",-0.08870936760433534,0.2501142804140615
197,"(1, 13, 6)",-0.2978462452862187,0.2730826643109078
198,"(1, 13, 7)",-0.12478450118706785,0.2542243646074306
199,"(1, 13, 8)",-0.41534070227399544,0.28517602223369304
200,"(1, 13, 9)",-0.16166442220092425,0.2583585587406465
201,"(1, 13, 10)",0.4405515552207212,0.17929267395286821
202,"(1, 13, 11)",-0.011626040251242253,0.24109738994197472
203,"(1, 13, 12)",-0.1938989430098801,0.2619185710568512
204,"(1, 13, 13)",-0.07562055494617681,0.24860625723741098
205,"(1, 13, 14)",-0.15520087413669037,0.25763879738745865
206,"(1, 13, 15)",-0.11415816204498075,0.25302062951875365
207,"(1, 13, 16)",-0.2440663672859391,0.26736483324221355
208,"(1, 14, 1)",-0.35328379073669125,0.2788540451183738
209,"(1, 14, 2)",-0.0719520498801034,0.24818194763043588
210,"(1, 14, 3)",-0.12189130771027878,0.2538971935529456
211,"(1, 14, 4)",0.22474794087234962,0.21105904711574708
212,"(1, 14, 5)",-0.06074899235050024,0.24688165654658947
213,"(1, 14, 6)",0.5156065485634698,0.16683287749455938
214,"(1, 14, 7)",0.5344973189487225,0.16354738413158082
215,"(1, 14, 8)",-0.1650384953901256,0.2587334900054176
216,"(1, 14, 9)",0.4997016405753263,0.16954970880305242
217,"(1, 14, 10)",-0.4876706894211045,0.292372089876637
218,"(1, 14, 11)",-0.18271357966426516,0.26068875652857104
219,"(1, 14, 12)",-0.15584243245573948,0.2577103292633098
220,"(1, 14, 13)",-0.33627810122562063,0.2770964325256599
221,"(1, 14, 14)",0.3604247670954449,0.19170274326716474
222,"(1, 14, 15)",-0.07440742616101392,0.24846602354152122
223,"(1, 14, 16)",0.42275757060161245,0.18212167325038373
224,"(1, 15, 1)",-0.008234640619835698,0.24069292030512357
225,"(1, 15, 2)",-0.35590450025880593,0.2791239227271782
226,"(1, 15, 3)",-0.1405949097752064,0.25600486787200727
227,"(1, 15, 4)",0.4436942092941061,0.1787883840780292
228,"(1, 15, 5)",-0.07278242748350516,0.24827805493110924
229,"(1, 15, 6)",-0.19498101938554813,0.26203723759523795
230,"(1, 15, 7)",0.362640733360145,0.19137035436989197
231,"(1, 15, 8)",-0.1244003396155855,0.25418094670303604
232,"(1, 15, 9)",-0.430069495099771,0.28665602891944764
233,"(1, 15, 10)",-0.0825366939979042,0.2494042339954518
234,"(1, 15, 11)",-0.10261640471890221,0.25170667553399756
235,"(1, 15, 12)",-0.39934516060318614,0.28355997797782195
236,"(1, 15, 13)",-0.13884048685156203,0.25580790326563796
237,"(1, 15, 14)",-0.4898470307324594,0.29258587002225145
238,"(1, 15, 15)",-0.24534773693184797,0.26750248868393767
239,"(1, 15, 16)",-0.11747428418965788,0.25339688844876956
240,"(1, 16, 1)",-0.2909014565955006,0.2723510501979247
241,"(1, 16, 2)",-0.04186136345033731,0.24467380467029687
242,"(1, 16, 3)",-0.0665137306317769,0.24755159813700933
243,"(1, 16, 4)",-0.18943936572555597,0.26142894046003584
244,"(1, 16, 5)",-0.07429439679353655,0.24845295368763956
245,"(1, 16, 6)",0.5593946142606754,0.15911363944403467
246,"(1, 16, 7)",-0.10346542931319802,0.2518035650933528
247,"(1, 16, 8)",-0.5160898521924313,0.2951514895113739
248,"(1, 16, 9)",-0.25715073216340567,0.26876714943415897
249,"(1, 16, 10)",-0.025888213211700428,0.24279096926264176
250,"(1, 16, 11)",0.4930752372509447,0.17066885000117277
251,"(1, 16, 12)",-0.07914452027461905,0.24901316813328675
252,"(1, 16, 13)",-0.15264388604712265,0.25735350315849725
253,"(1, 16, 14)",-0.4155579082835996,0.28519790373876763
254,"(1, 16, 15)",-0.0872976089589419,0.249952062860239
255,"(1, 16, 16)",-0.1984715704508122,0.2624196651774287
256,"(2, 1, 1)",-0.053085197495778,0.2459881934142911
257,"(2, 1, 2)",0.3729855494392271,0.18981095918407137
258,"(2, 1, 3)",-0.39535716677739674,0.28315563088913076
259,"(2, 1, 4)",-0.12311434366135265,0.2540355495636024
260,"(2, 1, 5)",-0.23849494640901825,0.2667654787566119
261,"(2, 1, 6)",-0.14302486766129663,0.2562774230402046
262,"(2, 1, 7)",-0.04967614989586733,0.24558971415053724
263,"(2, 1, 8)",-0.7533995075307529,0.3174117130696653
264,"(2, 1, 9)",-0.017850072372741055,0.24183792883910948
265,"(2, 1, 10)",-0.15058922039023748,0.25712402583867616
266,"(2, 1, 11)",-0.040443395373942925,0.24450724807145197
267,"(2, 1, 12)",-0.1770228575789765,0.26006083777478
268,"(2, 1, 13)",-0.1210061024972271,0.2537970076128836
269,"(2, 1, 14)",-0.24505783663289882,0.26747135137073585
270,"(2, 1, 15)",-0.2783966009396055,0.2710287190265089
271,"(2, 1, 16)",-0.06248640407646522,0.24708375883115172
272,"(2, 2, 1)",-0.21008698268923665,0.26368826544027496
273,"(2, 2, 2)",-0.2103757513173099,0.2637197261359024
274,"(2, 2, 3)",-0.17707228050742874,0.2600662976658838
275,"(2, 2, 4)",0.4033285213098008,0.18516126886395534
276,"(2, 2, 5)",-0.34860588564479644,0.27837166958240767
277,"(2, 2, 6)",-0.25932288922747326,0.2689992427243882
278,"(2, 2, 7)",-0.1312311492700433,0.25495186103217066
279,"(2, 2, 8)",0.1882026416651882,0.21597641385490535
280,"(2, 2, 9)",0.45104181319592307,0.17760375431887543
281,"(2, 2, 10)",-0.04492593336347017,0.2450333867744692
282,"(2, 2, 11)",-0.016633149773473965,0.2416933171394628
283,"(2, 2, 12)",-0.040981022948157086,0.24457041194087376
284,"(2, 2, 13)",-0.31387591196449605,0.2747639075890339
285,"(2, 2, 14)",-0.21847997906955952,0.26460113800256996
286,"(2, 2, 15)",-0.4055311817400973,0.2841860471434222
287,"(2, 2, 16)",-0.08135356493421253,0.2492679069463188
288,"(2, 3, 1)",-0.33918870752341146,0.2773980463589115
289,"(2, 3, 2)",-0.6270568824186433,0.3057622580544206
290,"(2, 3, 3)",-0.25821694003186635,0.2688810979483084
291,"(2, 3, 4)",-0.15374295015085915,0.2574761692342195
292,"(2, 3, 5)",0.4487231287930382,0.17797843961747198
293,"(2, 3, 6)",-0.3348176776785219,0.27694497124542516
294,"(2, 3, 7)",-0.26083415942809784,0.2691606027100941
295,"(2, 3, 8)",0.3790196211243133,0.18889542860936773
296,"(2, 3, 9)",-0.5521162103586472,0.2986376959163982
297,"(2, 3, 10)",-0.1433261276552955,0.2563111935427526
298,"(2, 3, 11)",0.36093572369483606,0.19162615231430308
299,"(2, 3, 12)",-3.131287593660659e-07,0.23970802674368613
300,"(2, 3, 13)",-0.053146689067608,0.24599537515984
301,"(2, 3, 14)",0.3956739011087561,0.18634518870205433
302,"(2, 3, 15)",-0.24539446017513322,0.2675075067468684
303,"(2, 3, 16)",-0.13244644670838746,0.2550887734445868
304,"(2, 4, 1)",-0.14008722109160132,0.2559478865374196
305,"(2, 4, 2)",0.4411597112138128,0.1791951961923153
306,"(2, 4, 3)",-0.029803223191837036,0.243253799386803
307,"(2, 4, 4)",-0.21489035601842232,0.2642110951087648
308,"(2, 4, 5)",-0.33653196823846643,0.2771227527589894
309,"(2, 4, 6)",-0.430332803710743,0.28668241768133157
310,"(2, 4, 7)",-1.032091875773633,0.34170723844189177
311,"(2, 4, 8)",-0.18021867959639715,0.2604136536778993
312,"(2, 4, 9)",0.4215395916251923,0.18231370996768068
313,"(2, 4, 10)",-0.03545489366568888,0.2439203875241561
314,"(2, 4, 11)",-0.04879253474209855,0.24548632393763625
315,"(2, 4, 12)",-0.006483878937538767,0.24048385238647918
316,"(2, 4, 13)",0.0978135202129039,0.22768303194913303
317,"(2, 4, 14)",0.45983551515981047,0.17617550379094382
318,"(2, 4, 15)",-0.06604088897154692,0.24749671572805548
319,"(2, 4, 16)",-0.22263726935622397,0.2650521454354411
320,"(2, 5, 1)",0.4059842276448955,0.1847487450931804
321,"(2, 5, 2)",-0.8324669687636308,0.32448945375499794
322,"(2, 5, 3)",-0.06501150240116171,0.24737719342351422
323,"(2, 5, 4)",0.5724531665102868,0.15673801991965242
324,"(2, 5, 5)",-0.14880649630956988,0.2569247545104698
325,"(2, 5, 6)",-0.2945970260396944,0.27274061243033465
326,"(2, 5, 7)",0.39954305315924765,0.1857477003484978
327,"(2, 5, 8)",-0.03791475413730283,0.24420994827417114
328,"(2, 5, 9)",-0.011634568747575624,0.2410984062235801
329,"(2, 5, 10)",-0.10499346095054585,0.2519778481722232
330,"(2, 5, 11)",-0.1975876499141047,0.2623228748478219
331,"(2, 5, 12)",-0.00039773006873167205,0.23975565401250948
332,"(2, 5, 13)",-0.1062511800761381,0.25212120975824287
333,"(2, 5, 14)",-0.291982174176872,0.27246502984746723
334,"(2, 5, 15)",0.06966547979030346,0.23120758463122926
335,"(2, 5, 16)",-0.21324633090306788,0.2640322655033161
336,"(2, 6, 1)",-0.09024725452984095,0.25029087104186476
337,"(2, 6, 2)",-0.002569042747873951,0.2400157017447121
338,"(2, 6, 3)",-0.3209753937815605,0.2755052459963428
339,"(2, 6, 4)",-0.07062417965034684,0.24802818350409442
340,"(2, 6, 5)",-0.13115091068289741,0.2549428189633148
341,"(2, 6, 6)",-0.22313760099753233,0.2651063726432463
342,"(2, 6, 7)",-0.38019221408352033,0.281612738231454
343,"(2, 6, 8)",-0.12029417379315066,0.2537164040948199
344,"(2, 6, 9)",-0.28658746259077805,0.27189559171328886
345,"(2, 6, 10)",-0.24949053145571654,0.2679470583798288
346,"(2, 6, 11)",-3.267928482442173e-05,0.23971190592478497
347,"(2, 6, 12)",-0.21415571276972756,0.2641311989072966
348,"(2, 6, 13)",0.32030823842374834,0.19762346598529398
349,"(2, 6, 14)",0.3979071249337811,0.1860005604557914
350,"(2, 6, 15)",-0.4481145467025087,0.2884589158598405
351,"(2, 6, 16)",-0.21840664752454697,0.26459317566320256
