,position,r2,rmse
103,"(7, 8)",-0.1359544994412567,0.2554835704447087
104,"(7, 9)",-0.25972165782481604,0.2690418290861724
105,"(7, 10)",0.36378053523653797,0.19119916215014815
106,"(7, 11)",0.39930401029184615,0.18578466989720926
107,"(7, 12)",0.32962142374027015,0.19626487058040215
108,"(7, 13)",0.07873819627794287,0.23007744267224645
109,"(7, 14)",0.5462773563444154,0.16146475419989903
110,"(7, 15)",0.42881444247904443,0.18116367321686974
111,"(7, 16)",0.5493944072194225,0.16090917113275457
112,"(8, 1)",0.5281531011538771,0.16465808544929472
113,"(8, 2)",0.5122888671260739,0.16740323390962744
114,"(8, 3)",0.5018037003178561,0.1691931427994746
115,"(8, 4)",-0.1709801670247364,0.25939241860109774
116,"(8, 5)",0.553051657709664,0.16025484714572827
117,"(8, 6)",-0.140215292620677,0.2559622620676703
118,"(8, 7)",0.36974306085378916,0.1903011123493474
119,"(8, 8)",0.5056147502609432,0.168544762437648
120,"(8, 9)",0.5203638994127627,0.1660116020447364
121,"(8, 10)",0.495249903179632,0.17030237881553936
122,"(8, 11)",0.5255818223553858,0.16510611914197906
123,"(8, 12)",0.4449700926729887,0.1785832414428473
124,"(8, 13)",0.2760863794546733,0.20395102056809505
125,"(8, 14)",0.5396922962702289,0.1626322350412247
126,"(8, 15)",0.5213087478895659,0.16584800600393973
127,"(8, 16)",0.46596718480306265,0.17517272301432926
128,"(9, 1)",0.5198143214924049,0.16610668474461995
129,"(9, 2)",-0.08671588577756895,0.2498851895582668
130,"(9, 3)",0.5541658553605967,0.16005497282405923
131,"(9, 4)",0.5206557437438495,0.16596108779324173
132,"(9, 5)",0.2088988025759878,0.21320556181642863
133,"(9, 6)",0.41523823054964437,0.18330402217643152
134,"(9, 7)",0.3961260731889671,0.1862754615638008
135,"(9, 8)",0.5005718933999705,0.1694021815014054
136,"(9, 9)",0.5315324693790061,0.1640673851673346
137,"(9, 10)",0.47689787394667593,0.17337071945256932
138,"(9, 11)",0.5772570251379698,0.15585498886929677
139,"(9, 12)",0.5386641031480185,0.16281377020739538
140,"(9, 13)",0.45986798142538565,0.17617020924937107
141,"(9, 14)",0.19393717469127758,0.2152122336954282
142,"(9, 15)",0.22092552446975544,0.2115787255620526
143,"(9, 16)",0.46369418952130004,0.17554511960039437
144,"(10, 1)",-0.19811533806910897,0.2623806616114202
145,"(10, 2)",-0.0004130968198883256,0.23975749540579477
146,"(10, 3)",0.008017876624692222,0.23874508066728395
147,"(10, 4)",-0.13992855179453034,0.25593007540701607
148,"(10, 5)",-0.18259630646471048,0.26067583177528586
149,"(10, 6)",0.43974618426280065,0.17942168064104416
150,"(10, 7)",0.42464229264317876,0.18182411250880237
151,"(10, 8)",0.38106288524041787,0.18858440326993237
152,"(10, 9)",0.29536790249867895,0.20121655999789795
153,"(10, 10)",0.5339870876354318,0.16363699064323287
154,"(10, 11)",0.13273094512089267,0.22323353375441518
155,"(10, 12)",0.462527878773602,0.1757358959856611
156,"(10, 13)",-0.08005331808865934,0.24911799885506464
157,"(10, 14)",0.5306543651242428,0.16422107865910068
158,"(10, 15)",0.562982308468946,0.15846451222466473
159,"(10, 16)",0.5894852142864888,0.15358433118027584
160,"(11, 1)",0.5376266793991913,0.1629967301968255
161,"(11, 2)",0.5229266818823339,0.16556749299769755
162,"(11, 3)",-0.06489976333082526,0.247364215900445
163,"(11, 4)",0.474659673002532,0.17374122484575757
164,"(11, 5)",0.4915837471126274,0.1709197392488358
165,"(11, 6)",0.5385860013742996,0.162827551387422
166,"(11, 7)",0.1868013343514373,0.21616274042466063
167,"(11, 8)",0.5545164060643558,0.15999203639645254
168,"(11, 9)",-0.14945687467550317,0.2569974711338653
169,"(11, 10)",0.4871460476170695,0.1716640530900442
170,"(11, 11)",0.4378076931935805,0.17973181417321538
171,"(11, 12)",0.4700168645808571,0.17450727380777176
172,"(11, 13)",0.5533814898811265,0.16019570500948022
173,"(11, 14)",0.3868279506240111,0.18770406751161337
174,"(11, 15)",0.46528240354161865,0.17528499754633503
175,"(11, 16)",0.21358106365957896,0.21257367956014986
176,"(12, 1)",-0.08401971078341797,0.2495750106898731
177,"(12, 2)",-0.06715468949258607,0.24762597437488734
178,"(12, 3)",-0.13713803782138467,0.25561662854346073
179,"(12, 4)",0.5545286627884602,0.159989835426805
180,"(12, 5)",0.3330261450653407,0.1957658407604977
181,"(12, 6)",0.5270922945702683,0.16484307375608942
182,"(12, 7)",0.48498143897550583,0.17202594386568087
183,"(12, 8)",0.5100769403888386,0.1677824181998059
184,"(12, 9)",0.5522095465607931,0.1604057470074694
185,"(12, 10)",0.4603855312180358,0.17608578664173144
186,"(12, 11)",0.4161734770006711,0.18315737866576506
187,"(12, 12)",0.508131607503139,0.16811519422449933
188,"(12, 13)",0.5548693114751884,0.15992865219708746
189,"(12, 14)",0.5382247435117291,0.16289128073270165
190,"(12, 15)",0.4041881261572493,0.1850278429357701
191,"(12, 16)",0.5302614673723602,0.16428980050321576
192,"(13, 1)",-0.2352701073208947,0.2664179454539952
193,"(13, 2)",-0.2035295797212482,0.2629728379136193
194,"(13, 3)",-0.1491353892852363,0.25696152950269835
195,"(13, 4)",-0.21256487292735526,0.2639581040733215
196,"(13, 5)",0.3896705692335145,0.18726847124448728
197,"(13, 6)",0.5554621697334423,0.1598221142565422
198,"(13, 7)",-0.149997502137734,0.2570579012206818
199,"(13, 8)",0.5062200440406428,0.1684415531065564
200,"(13, 9)",0.5309766980088053,0.1641646778517481
201,"(13, 10)",0.4163487143212351,0.18312988897849944
202,"(13, 11)",0.37235877897135483,0.18990580403815413
203,"(13, 12)",0.5141072422233599,0.16709087059325622
204,"(13, 13)",0.5496175405879264,0.16086932625303613
205,"(13, 14)",0.40282622416129743,0.18523918980962398
206,"(13, 15)",0.5592964844347079,0.15913135702646758
207,"(13, 16)",0.4291470182040723,0.18111092379766547
208,"(14, 1)",0.5278634134261593,0.1647086231425478
209,"(14, 2)",-0.15742296444484727,0.25788646930539433
210,"(14, 3)",-0.04290832651091048,0.244796709752479
211,"(14, 4)",-0.23866338609140603,0.2667836186630184
212,"(14, 5)",-0.07654635274196608,0.24871322322096603
213,"(14, 6)",0.5363336267311537,0.16322448577905893
214,"(14, 7)",0.37891881503639424,0.18891076004101368
215,"(14, 8)",-0.01942221537761002,0.24202462485587026
216,"(14, 9)",0.5055841987510619,0.16854997013491188
217,"(14, 10)",0.5134324537752974,0.1672068549011004
218,"(14, 11)",0.546037445687449,0.16150743665854075
219,"(14, 12)",-0.16725817777391927,0.2589798479086513
220,"(14, 13)",0.37462334660673224,0.18956289861680167
221,"(14, 14)",0.4793253399259323,0.17296798652439982
222,"(14, 15)",0.4711163071106569,0.17432617339892334
223,"(14, 16)",0.43341521104166225,0.18043258214483981
224,"(15, 1)",-0.5191041170155188,0.29544475147928484
225,"(15, 2)",0.34917367514580055,0.19338156225592454
226,"(15, 3)",-0.3283405608780585,0.27627222532194895
227,"(15, 4)",0.46624910515280293,0.17512647934417644
228,"(15, 5)",-0.16109562431541224,0.2582952995962054
229,"(15, 6)",-0.27250405116736465,0.2704033673941457
230,"(15, 7)",0.5511665551695182,0.16059244650675394
231,"(15, 8)",0.4908462208720821,0.17104366537156016
232,"(15, 9)",0.5784453553250338,0.15563578058356578
233,"(15, 10)",0.33049519832912955,0.19613692259716645
234,"(15, 11)",0.4317072077266054,0.18070433983016596
235,"(15, 12)",0.2412492255915616,0.2088007635714233
236,"(15, 13)",0.3497056457346658,0.19330251326098685
237,"(15, 14)",0.5348639631306791,0.1634829639775505
238,"(15, 15)",0.5177739838837241,0.16645920927604485
239,"(15, 16)",0.5220726911637021,0.16571561476214414
240,"(16, 1)",-0.25939007409218195,0.26900641818226556
241,"(16, 2)",0.4968708173554057,0.17002871119670912
242,"(16, 3)",-0.05914400551585408,0.24669481130319518
243,"(16, 4)",0.3801232163908793,0.18872750317239098
244,"(16, 5)",0.43619185756904766,0.1799899186395291
245,"(16, 6)",0.5242100551765478,0.16534464675521734
246,"(16, 7)",0.5010433412598831,0.169322206875166
247,"(16, 8)",-0.26696720214560243,0.2698144440087222
248,"(16, 9)",0.530650851462043,0.16422169336207618
249,"(16, 10)",0.41498193325466515,0.18334418825844265
250,"(16, 11)",0.4286028625557474,0.18119722365123228
251,"(16, 12)",-0.29201927287216045,0.2724689416756487
252,"(16, 13)",0.5155217793211304,0.166847474799608
253,"(16, 14)",0.562458560400362,0.15855944045300682
254,"(16, 15)",0.4135692789475519,0.18356541714536814
255,"(16, 16)",0.48341791584793914,0.17228686913648386
